activity_group_code,region,district,community,ngo,hazard,activities,number_of_activities_or_unites,beneficiaries_per_activity,budget__usd,brcis_output,_2014_quarter_3,_2014_quarter_4,_2015_quarter_1,_2015_quarter_2,_2015_quarter_3,_2015_quarter_4,_2016,_2017,created_at,updated_at,the_geom,cartodb_id
14,GEDO,BELET HAWA,HAROODI,CWW,DROUGHT,Road rehabilation through cash for work (KM),7.5,30,7500,4,,,,,,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,323
14,GEDO,ELWAK,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Road rehabilation through cash for work (KM),3.5,14,3500,4,,,,,,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,325
14,GEDO,ELWAK,DHAMASA,CWW,DROUGHT,Road rehabilation through cash for work (KM),20,80,20000,4,,,,,,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,326
14,GEDO,BELET HAWA,BELET HAWA TOWN (SOUTH),CWW,DROUGHT,Road rehabilation through cash for work (KM),7.5,30,7500,4,,,,,,X,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,327
14,L.SHABELLE,AWDAGHLE,MUBARAK,CWW,CONFLICT,"River water catchments rehabilitation; through CfW",1,2300,7000,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,328
14,L.SHABELLE,AWDAGHLE,MUBARAK,CWW,FLOOD,River bank strengthening through CfW,10,2300,10000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,329
14,L.SHABELLE,AFGOYE,MORDINLE,CWW,FLOOD,River bank strengthening through CfW,5,701,5000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,330
14,L.SHABELLE,AWDAGHLE,MARERE,CWW,FLOOD,River bank strengthening through CfW,2,150,2000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,331
14,L.SHABELLE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,River bank strengthening through CfW,3,225,3000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,332
14,L.SHABELLE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,River bank strengthening through CfW,5,310,5000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,333
14,L.SHABELLE,AFGOYE,BELETAMIN,CWW,FLOOD,River bank strengthening through CfW,10,1443,10000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,334
14,L.SHABELLE,AWDAGHLE,BALOW,CWW,FLOOD,River bank strengthening through CfW,5,300,5000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,335
14,L.SHABELLE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,River bank strengthening through CfW,5,450,5000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,336
14,L.SHABELLE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,River bank strengthening through CfW,10,1500,10000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,337
14,L.SHABELLE,AFGOYE,AANOLE,CWW,FLOOD,River bank strengthening through CfW,5,512,5000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,338
20,HIRAN,BELETWEYNE,QOYDO,CESVI,FLOOD,Rhabilitation of irrigation canals (7),7 canals,100,55000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,339
20,HIRAN,BELETWEYNE,SHINILE ,CESVI,FLOOD,Rhabilitation of irrigation canals (5),5 canals,100,55000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,340
20,HIRAN,BELETWEYNE,GARASH,CESVI,FLOOD,Rhabilitation of irrigation canals (4),4 canals,80,49000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,341
20,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,FLOOD,Rhabilitation of irrigation canals (4),4 canals,100,49000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,342
54,GEDO,ELWAK,TUULA CADEY,CWW,DROUGHT,Restocking of pastoralist households,40,40,24000,4,,,,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,343
54,GEDO,BELET HAWA,MALKARIYEY,CWW,DROUGHT,Restocking of pastoralist households,40,40,24000,4,,,,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,345
54,GEDO,BELET HAWA,HAROODI,CWW,DROUGHT,Restocking of pastoralist households,40,40,24000,4,,,,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,346
54,GEDO,ELWAK,ELBANDA (DARKEYN DHOQA),CWW,DROUGHT,Restocking of pastoralist households,40,40,24000,4,,,,X,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,347
54,GEDO,DOLOW,QANSAXLEY,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,349
54,GEDO,DOLOW,KAPASA,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,350
54,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,351
54,BANADIR,WADAJIR,HALANE,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,352
54,GEDO,DOLOW,GEEDWEINE,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,353
54,BANADIR,DHARKENLEY ,DAGAH TUR,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,354
54,BAY,BAIDOA,BERDAALE,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,355
54,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,DROUGHT,Restocking,700,70,45000,4,,X,,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,356
54,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Restocking,300 goats,30,12000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,357
54,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Restocking,400 Goats,40,16000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,358
54,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Restocking,800 goats,80,32000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,359
54,MUDUG,GALKACYO,WARGALO,CESVI,DROUGHT,Restocking,800 goats,80,32000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,360
54,HIRAN,BELETWEYNE,QOYDO,CESVI,DROUGHT,Restocking,500 goats,50,20000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,361
54,HIRAN,BELETWEYNE,GARASH,CESVI,DROUGHT,Restocking,300 goats,30,12000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,362
54,MUDUG,GALKACYO,GALINSOOR,CESVI,DROUGHT,Restocking,1000 goats,100,40000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,363
54,MUDUG,GALKACYO,DOCOL,CESVI,DROUGHT,Restocking,800 Animals,80,32000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,364
54,MUDUG,GALKACYO,DHUURE,CESVI,DROUGHT,Restocking,300 Animals,30,12000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,365
54,HIRAN,BELETWEYNE,BUULO YAKUB,CESVI,DROUGHT,Restocking,500 goats,50,20000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,367
54,MUDUG,GALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Restocking,800 goats,80,32000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,368
51,BAY,BAIDOA,HAWL WADAAG,NRC,DROUGHT,Rehabilitation/construction and equipping of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,369
51,GEDO,DOLOW,SUR-GUDUD,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,370
51,BANADIR,DHARKENLEY ,SACID RORAYE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,371
51,GEDO,DOLOW,QANSAXLEY,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,372
51,BANADIR,HODAN,OCTOBER,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,373
51,GEDO,DOLOW,KAPASA,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,374
51,GEDO,LUUQ,JAZEERA (ALL),NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,375
51,BANADIR,HAMARWEINE,HORSEED,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,376
51,BANADIR,HAMARWEINE,HILAAC,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,377
51,BANADIR,WADAJIR,HALANE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,378
51,L.JUBA,KISMAYO,FAANOOLE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,379
51,BANADIR,DHARKENLEY ,DAGAH TUR,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,380
51,L.JUBA,KISMAYO,CALANLEY,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,381
51,BAY,BAIDOA,BERDAALE,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,382
51,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,DROUGHT,Rehabilitation/construction and equipping of of shallow wells,1,30,13000,2,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,383
51,BANADIR,HAWLWADAG,SAQAWUDIN (SAYIDKA),SCI,CONFLICT,Rehabilitation of water sources and piping to the water points (2 water sources),2,858,7700.01,2,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,384
51,BANADIR,HODAN,AHMED GUREY,SCI,DISEASE OUTBREAK,Rehabilitation of water sources and piping from water source to the water point,2,858,7700.01,2,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,385
51,MUDUG,HOBYO,WISIL,CESVI,DROUGHT,Rehabilitation of water points and Extension of pipelines,1 Gensset ,350,24000,2,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,386
51,MUDUG,GALKACYO,WARGALO,CESVI,DROUGHT,Rehabilitation of water points and Extension of pipelines,2 water point extensions,400,20800,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,387
51,MUDUG,GALKACYO,DOCOL,CESVI,DROUGHT,Rehabilitation of water points and Extension of pipelines,1 gensset and pipeline extension,400,44675,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,388
51,MUDUG,HOBYO,XERO DHAGAXLEY,CESVI,DROUGHT,Rehabilitation of water points (Shallow wells),8 Shallow wells,300,14200,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,389
51,MUDUG,HOBYO,XAARO,CESVI,DROUGHT,Rehabilitation of water points (Shallow wells),5 shallow wells,150,9500,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,390
51,MUDUG,GALKACYO,DHUURE,CESVI,DROUGHT,Rehabilitation of water points (Shallow wells),4 shallow wells,200,8000,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,391
51,MUDUG,GALKACYO,GALINSOOR,CESVI,DROUGHT,Rehabilitation of water points,2 water point extensions,400,21000,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,392
21,HIRAN,BELETWEYNE,GARASH,CESVI,DROUGHT,Market shade (1),1 Market shade,80,17000,4,,,,,,,,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,753
51,MUDUG,GALKACYO,BANDIIRADLEY,CESVI,DROUGHT,Rehabilitation of water points,2 water point extensions,400,21000,2,,,X,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,393
14,HIRAN,MATABAN,HARQBOOBE,SCI,DROUGHT,Rehabilitation of water catchments throught cash for work,1,100,12000,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,394
20,HIRAN,BELETWEYNE,QOQANE,SCI,FLOOD,Rehabilitation of three main canals,1,105,8760,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,395
14,HIRAN,BELETWEYNE,BACAD,SCI,FLOOD,Rehabilitation of the two canals using cash for work,2,200,15000,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,396
21,BANADIR,HODAN,AHMED GUREY,SCI,FLOOD,Rehabilitation of Sigale Market place ,1,100,18000,4,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,397
23,GEDO,DOLOW,QANSAXLEY,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,398
23,GEDO,LUUQ,JAZEERA (ALL),NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,399
23,BAY,BAIDOA,HAWL WADAAG,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,400
23,GEDO,DOLOW,GEEDWEINE,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,401
23,L.JUBA,KISMAYO,FARJANNO,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,402
23,L.JUBA,KISMAYO,FAANOOLE,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,403
23,L.JUBA,KISMAYO,CALANLEY,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,404
23,BAY,BAIDOA,BONKAI,NRC,CONFLICT,Rehabilitation of shelters,30,30,15000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,405
23,BAY,BAIDOA,BERDAALE,NRC,CONFLICT,Rehabilitation of shelters,20,20,10000,3,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,406
23,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,CONFLICT,Rehabilitation of shelters,100,100,50000,3,,X,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,407
20,HIRAN,BELETWEYNE,DHARIYOW,SCI,FLOOD,Rehabilitation of one main canal and six sub canals,1,45,5400,4,X,,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,408
20,HIRAN,BELETWEYNE,BASLAWE,SCI,FLOOD,Rehabilitation of irrigation canals,1,35,4200,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,409
23,HIRAN,BELETWEYNE,SHINILE ,CESVI,FLOOD,Rehabilitation of houses,30 Houses,30,15000,3,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,410
23,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,FLOOD,Rehabilitation of houses,20 Houses,20,10000,3,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,411
23,MUDUG,GALKACYO,HOWL WADAAG,CESVI,DROUGHT,Rehabilitation of houses,60 Houses,60,30000,3,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,412
14,HIRAN,MATABAN,QULALE,SCI,DROUGHT,Rehabilitation of for water catchments throught cash for work,1,60,7200,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,413
20,L.SHABELLE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,458
14,HIRAN,MATABAN,BERGADID,SCI,DROUGHT,Rehabilitation of for water catchments throught cash for work,1,200,20000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,414
25,HIRAN,BELETWEYNE,SHINILE ,CESVI,DROUGHT,Rehabilitation of feeder roads (2),2 roads,70,10500,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,415
25,HIRAN,BELETWEYNE,QOYDO,CESVI,DROUGHT,Rehabilitation of feeder roads (2),2 roads,70,10500,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,416
25,HIRAN,BELETWEYNE,GARASH,CESVI,DROUGHT,Rehabilitation of feeder roads (2),2 roads,70,10500,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,417
25,HIRAN,BELETWEYNE,DHAYWABAR,CESVI,DROUGHT,Rehabilitation of feeder roads (2),2 roads,70,10500,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,418
25,HIRAN,BELETWEYNE,BUULO YAKUB,CESVI,DROUGHT,Rehabilitation of feeder roads (2),2 roads,70,10500,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,419
14,GEDO,DOLOW,QANSAXLEY,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,100,100,21000,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,420
14,GEDO,LUUQ,JAZEERA (ALL),NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,421
14,BAY,BAIDOA,HAWL WADAAG,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,20,100,21000,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,422
14,GEDO,DOLOW,GEEDWEINE,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,100,100,21000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,423
14,L.JUBA,KISMAYO,FAANOOLE,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,424
14,L.JUBA,KISMAYO,CALANLEY,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,425
14,GEDO,LUUQ,AL-CADAALA/DAYAX/IJABO,NRC,CONFLICT,Rehabilitation of communal roads through CFW                                    ,1,100,21000,4,,,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,426
14,BAY,BAIDOA,BONKAI,NRC,CONFLICT,Rehabilitation of communal roads through CFW,20,20,10000,4,,X,X,X,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,427
51,BANADIR,DEYNILE,KUR DAMAC,SCI,CONFLICT,Rehabilitation of  2 water of sources and water piping to the IDPs,2,858,7700.01,2,,,,X,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,428
20,HIRAN,BELETWEYNE,LAFOLE,SCI,FLOOD,Rehabilitation of  1 canal and 4 sub-canals,1,90,10800,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,429
14,GEDO,ELWAK,TUULO GARAS,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,270,7000,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,431
14,GEDO,ELWAK,TUULA CADEY,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,220,7000,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,432
14,L.SHABELLE,AWDAGHLE,MUBARAK,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,2300,7000,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,433
14,L.SHABELLE,AWDAGHLE,MARERE,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,150,7000,4,,,X,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,434
14,GEDO,ELWAK,ELWAK TOWN,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,1400,7000,4,,,,,,X,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,435
14,L.SHABELLE,AFGOYE,BELETAMIN,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,1443,7000,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,436
38,L.SHABELLE,AFGOYE,MORDINLE,CWW,DROUGHT,Farmer Field Schools,4,100,16000,4,,,X,,,,X,X,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,846
14,L.SHABELLE,AWDAGHLE,BALOW,CWW,DROUGHT,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,300,7000,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,437
14,L.SHABELLE,AWDAGHLE,AY-BUTAY,CWW,CROCKODILE ATTACK,Rehabilitate shallow wells and/or construct new shallow wells through CfW,1,450,15000,4,,X,,,,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,438
14,GEDO,ELWAK,TUULA CADEY,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,,X,X,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,439
14,GEDO,ELWAK,MERI,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,,X,X,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,440
14,GEDO,BELET HAWA,HAROODI,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,,X,X,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,441
14,GEDO,ELWAK,ELWAK TOWN,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,,X,X,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,442
14,GEDO,ELWAK,DHAMASA,CWW,DROUGHT,Rehabilitate old rainwater catchments through CfW,3,80,25500,4,,X,X,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,443
25,L.SHABELLE,AWDAGHLE,MUBARAK,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,2300,7500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,444
25,L.SHABELLE,AFGOYE,MORDINLE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,701,7500,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,445
25,L.SHABELLE,AWDAGHLE,MARERE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,150,7500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,446
25,L.SHABELLE,AWDAGHLE,JOWHAR AWDHEGLE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,225,7500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,447
25,L.SHABELLE,AWDAGHLE,GUMAYSIDID,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,310,7500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,448
25,L.SHABELLE,AFGOYE,BELETAMIN,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,1443,7500,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,449
25,L.SHABELLE,AWDAGHLE,BALOW,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,300,7500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,450
25,L.SHABELLE,AWDAGHLE,AY-BUTAY,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,450,7500,4,,,,,,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,451
25,L.SHABELLE,AWDAGHLE,AWDAGHLE TOWN,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,1500,7500,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,452
25,L.SHABELLE,AFGOYE,AANOLE,CWW,FLOOD,Rehabilitate culverts in roads to prevent flooding,1,512,7500,4,,,,,X,,,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,453
20,L.SHABELLE,AWDAGHLE,MUBARAK,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,454
20,L.SHABELLE,AFGOYE,MORDINLE,CWW,FLOOD,Rehabilitate canals (km),30,150,18000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,455
20,L.SHABELLE,AWDAGHLE,MARERE,CWW,FLOOD,Rehabilitate canals (km),10,50,6000,4,,,X,,X,,X,,2015-02-19 13:53:11+00,2015-02-19 13:53:11+00,,456
