REGION,DISTRICT,VILLAGE,LATITUDE,LONGITUDE
BAY,BAIDOA,TOWFIIQ,3.1226333333,43.6661316667
BAY,BAIDOA,TOWFIIQ,3.1227966667,43.6676716667
BAY,BAIDOA,ADADA,3.1241150000,43.6643433333
BAY,BAIDOA,ADADA,3.1243183333,43.6641333333
BAY,BAIDOA,ADADA,3.1243450000,43.6652100000
BAY,BAIDOA,ADADA,3.1243800000,43.6646283333
BAY,BAIDOA,ADADA,3.1244433333,43.6654316667
BAY,BAIDOA,ADADA,3.1244650000,43.6641450000
BAY,BAIDOA,ADADA,3.1245783333,43.6651533333
BAY,BAIDOA,ADADA,3.1245933333,43.6647483333
BAY,BAIDOA,WABERI,3.1246000000,43.6598483333
BAY,BAIDOA,ADADA,3.1246766667,43.6653500000
BAY,BAIDOA,ADADA,3.1247033333,43.6650550000
BAY,BAIDOA,ADADA,3.1251883333,43.6637483333
BAY,BAIDOA,WABERI,3.1252200000,43.6599166667
BAY,BAIDOA,WABERI,3.1252516667,43.6598566667
BAY,BAIDOA,WABERI,3.1253033333,43.6592733333
BAY,BAIDOA,WABERI,3.1253633333,43.6599166667
BAY,BAIDOA,ADADA,3.1254266667,43.6634150000
BAY,BAIDOA,WABERI,3.1254466667,43.6599783333
BAY,BAIDOA,WABERI,3.1254633333,43.6596566667
BAY,BAIDOA,HORSED,3.1254933333,43.6501683333
BAY,BAIDOA,HORSED,3.1255083333,43.6494333333
BAY,BAIDOA,WABERI,3.1255650000,43.6586233333
BAY,BAIDOA,HORSED,3.1255716667,43.6509133333
BAY,BAIDOA,HORSED,3.1256916667,43.6512650000
BAY,BAIDOA,ADADA,3.1257216667,43.6634116667
BAY,BAIDOA,HORSED,3.1257316667,43.6511250000
BAY,BAIDOA,HORSED,3.1257833333,43.6516566667
BAY,BAIDOA,HORSED,3.1259450000,43.6498000000
BAY,BAIDOA,ADADA,3.1259533333,43.6631050000
BAY,BAIDOA,HORSED,3.1259600000,43.6514716667
BAY,BAIDOA,WABERI,3.1259666667,43.6587016667
BAY,BAIDOA,WABERI,3.1259666667,43.6588666667
BAY,BAIDOA,WABERI,3.1260266667,43.6585616667
BAY,BAIDOA,HORSED,3.1260633333,43.6539116667
BAY,BAIDOA,ADADA,3.1260816667,43.6622933333
BAY,BAIDOA,ADADA,3.1261350000,43.6627583333
BAY,BAIDOA,HORSED,3.1261883333,43.6521166667
BAY,BAIDOA,WABERI,3.1261883333,43.6614366667
BAY,BAIDOA,WABERI,3.1262100000,43.6614033333
BAY,BAIDOA,ADADA,3.1262166667,43.6628250000
BAY,BAIDOA,ADADA,3.1262183333,43.6632066667
BAY,BAIDOA,ADADA,3.1262283333,43.6655833333
BAY,BAIDOA,ADADA,3.1262316667,43.6619933333
BAY,BAIDOA,ADADA,3.1262333333,43.6624600000
BAY,BAIDOA,ADADA,3.1263016667,43.6656550000
BAY,BAIDOA,ADADA,3.1263100000,43.6626100000
BAY,BAIDOA,ADADA,3.1263950000,43.6633800000
BAY,BAIDOA,WABERI,3.1264383333,43.6609150000
BAY,BAIDOA,HORSED,3.1264416667,43.6541750000
BAY,BAIDOA,ADADA,3.1264566667,43.6617750000
BAY,BAIDOA,GARASGAMAAN,3.1265233333,43.6644750000
BAY,BAIDOA,HORSED,3.1265233333,43.6539650000
BAY,BAIDOA,HORSED,3.1265533333,43.6523650000
BAY,BAIDOA,ADAADA,3.1265700000,43.6635566667
BAY,BAIDOA,MOORAQASAALI,3.1265800000,43.6647016667
BAY,BAIDOA,ADAADA,3.1266316667,43.6637916667
BAY,BAIDOA,HORSED,3.1266383333,43.6518250000
BAY,BAIDOA,HORSED,3.1266400000,43.6540850000
BAY,BAIDOA,ADAADA,3.1266666667,43.6637683333
BAY,BAIDOA,NEW BAIDOA,3.1266866667,43.6646550000
BAY,BAIDOA,HORSED,3.1267183333,43.6534250000
BAY,BAIDOA,HORSEED,3.1268216667,43.6642866667
BAY,BAIDOA,ADADA,3.1268366667,43.6615633333
BAY,BAIDOA,HORSED,3.1269033333,43.6519250000
BAY,BAIDOA,WABERI,3.1269383333,43.6607000000
BAY,BAIDOA,NEW BAIDOA,3.1270033333,43.6649500000
BAY,BAIDOA,HORSEED,3.1270066667,43.6637083333
BAY,BAIDOA,HORSED,3.1270400000,43.6535400000
BAY,BAIDOA,WABERI,3.1270583333,43.6606433333
BAY,BAIDOA,WABERI,3.1270933333,43.6608416667
BAY,BAIDOA,WABERI,3.1271466667,43.6604166667
BAY,BAIDOA,ADAADA,3.1271533333,43.6634766667
BAY,BAIDOA,HORSED,3.1272183333,43.6538783333
BAY,BAIDOA,WABERI,3.1272250000,43.6604316667
BAY,BAIDOA,WABERI,3.1273016667,43.6608766667
BAY,BAIDOA,HORSED,3.1273333333,43.6537733333
BAY,BAIDOA,HORSED,3.1273700000,43.6537566667
BAY,BAIDOA,HORSED,3.1273766667,43.6539250000
BAY,BAIDOA,HORSED,3.1274200000,43.6517283333
BAY,BAIDOA,HORSED,3.1274300000,43.6532200000
BAY,BAIDOA,HORSED,3.1274333333,43.6516700000
BAY,BAIDOA,HORSED,3.1274416667,43.6536933333
BAY,BAIDOA,HORSED,3.1278783333,43.6538850000
BAY,BAIDOA,HORSED,3.1279216667,43.6546716667
BAY,BAIDOA,HORSED,3.1279550000,43.6540800000
BAY,BAIDOA,HORSED,3.1279616667,43.6644350000
BAY,BAIDOA,HORSED,3.1279816667,43.6541550000
BAY,BAIDOA,HORSED,3.1280900000,43.6537533333
BAY,BAIDOA,HORSED,3.1281533333,43.6518883333
BAY,BAIDOA,HORSED,3.1286233333,43.6647500000
BAY,BAIDOA,HORSED,3.1286650000,43.6542750000
BAY,BAIDOA,HORSED,3.1286650000,43.6540166667
BAY,BAIDOA,HORSED,3.1287783333,43.6648983333
BAY,BAIDOA,HORSED,3.1289783333,43.6647983333
BAY,BAIDOA,HORSED,3.1289850000,43.6520050000
BAY,BAIDOA,HORSED,3.1290633333,43.6645100000
BAY,BAIDOA,NEW BAIDOA,3.1291750000,43.6695166667
BAY,BAIDOA,NEW BAIDOA,3.1294566667,43.6694000000
BAY,BAIDOA,HORSED,3.1294866667,43.6527083333
BAY,BAIDOA,HORSED,3.1294883333,43.6518716667
BAY,BAIDOA,HORED,3.1295400000,43.6530383333
BAY,BAIDOA,HORSED,3.1296100000,43.6534216667
BAY,BAIDOA,NEW BAIDOA,3.1299916667,43.6703416667
BAY,BAIDOA,MANYAFUUL,3.1303033333,43.6732366667
BAY,BAIDOA,MANYAFUUL,3.1333833333,43.6774250000
BAY,BAIDOA,MANYAFUUL,3.1351233333,43.6757683333
BAY,BAIDOA,MANYAFUUL,3.1351433333,43.6768816667
BAY,BAIDOA,MAYNAFUUL,3.1353566667,43.6775116667
BAY,BAIDOA,MANYAFUUL,3.1354566667,43.6771700000
BAY,BAIDOA,MANYAFUUL,3.1354966667,43.6784350000
BAY,BAIDOA,MAYNAFUUL,3.1357650000,43.6770016667
BAY,BAIDOA,MANYAFUUL,3.1359683333,43.6776400000
BAY,BAIDOA,MAYNAFUUL,3.1361600000,43.6762933333
BAY,BAIDOA,MANYAFUUL,3.1364416667,43.6783416667
BAY,BAIDOA,MANYAFUUL,3.1367350000,43.6776516667
BAY,BAIDOA,MANYAFUUL,3.1368683333,43.6773316667
BAY,BAIDOA,MANYAFUUL,3.1369216667,43.6775400000
